fare_amount,passenger_count,year,month,date,day,hour,minute,distance
5.7,1,2010,8,19,3,16,33,1.5738326916892977
5.0,1,2013,3,10,6,15,44,0.8335546963202958
8.5,1,2013,6,14,4,8,27,1.4870345239545026
17.0,1,2013,7,8,0,21,24,5.89887998050636
8.0,1,2014,3,21,4,11,0,2.532782695005201
12.0,1,2014,10,2,3,13,39,1.6529611518586145
12.5,1,2011,8,31,2,8,21,5.124095164795088
7.5,1,2014,5,19,0,6,26,2.519319995574576
6.9,5,2012,4,5,3,5,50,1.752773402390474
5.0,2,2015,3,4,2,14,55,0.5898930668238032
10.5,1,2010,4,27,1,21,40,3.9978675349177752
7.7,1,2011,2,22,1,11,9,2.217033174787161
11.0,2,2015,4,3,4,16,21,1.9856444824607877
5.7,1,2009,1,9,4,15,1,1.2966678329865426
9.0,1,2013,1,9,2,14,42,2.2333323007179713
13.5,1,2013,7,6,5,17,18,3.209961648240229
7.5,1,2013,10,8,1,17,29,1.4238698919243138
9.0,1,2014,12,7,6,12,26,1.4930112539722245
14.0,1,2015,5,17,6,8,2,3.5015247004429124
5.7,3,2011,6,9,3,0,53,1.3086455891376316
10.0,1,2014,11,12,2,12,40,2.4421682845548975
5.7,5,2010,6,4,4,14,49,1.1791210810112767
9.7,2,2010,11,8,0,20,42,4.214837438666019
14.1,1,2011,3,9,2,7,24,6.143574665433156
7.7,2,2011,8,4,3,10,38,0.7537781988876232
11.3,1,2010,3,22,0,10,1,4.072165564533739
8.5,1,2012,3,25,6,9,22,3.3080897023078455
12.9,6,2012,6,5,1,9,16,2.9298315626188494
9.5,1,2012,11,6,1,11,33,0.5652058141440225
9.0,1,2014,5,22,3,18,30,2.041429123823726
10.0,6,2014,10,17,4,8,28,2.0055036165835527
35.0,1,2012,12,6,3,18,5,7.598811182998402
9.0,1,2012,12,6,3,18,5,1.4910631890236494
17.0,1,2014,7,20,6,12,48,2.957085231515199
6.1,5,2009,1,25,6,18,41,1.1071038144918404
14.5,2,2010,3,27,5,2,26,4.618331513060448
3.7,1,2011,1,5,2,17,39,0.4812376331295753
32.5,2,2012,5,11,4,15,3,8.300768180996148
5.3,3,2010,1,3,6,10,20,1.5230764472343288
11.5,5,2012,11,8,3,21,0,3.2551860279105167
4.0,1,2013,11,23,5,23,34,0.9398581000576552
10.5,1,2010,6,17,3,16,12,2.652653406512595
17.7,1,2012,8,19,6,19,56,9.717643366961964
5.0,1,2013,5,10,4,16,39,1.680116503952808
14.023381575540878,1,2013,9,17,1,4,22,5.8668305311886275
8.0,1,2014,1,6,0,21,21,2.3287131285195315
7.3,2,2010,9,30,3,8,38,1.872512724354345
6.5,5,2012,10,6,5,15,47,1.8000189804469713
8.0,1,2013,2,11,0,0,13,1.3824048627336758
16.5,1,2014,9,12,4,23,10,5.468282531723621
49.57,2,2009,9,22,1,21,14,19.85369899268746
10.5,1,2012,2,3,4,13,46,3.672009776755805
22.5,5,2012,2,12,6,1,26,13.333604922939317
11.5,1,2012,12,21,4,6,47,3.1396541553622552
12.5,2,2014,11,1,5,16,51,1.2652184561371296
5.5,1,2013,1,26,5,18,36,0.7144007760008003
6.5,1,2013,5,20,0,11,3,1.7867549417072968
16.5,3,2015,5,31,6,7,33,6.366370156756805
9.0,1,2015,2,15,6,22,41,2.903931991729314
8.9,1,2009,6,25,3,10,29,2.0780536787942516
10.9,1,2009,7,23,3,17,5,3.7621550615513963
8.9,1,2011,3,19,5,15,0,2.75163927185832
8.5,1,2011,5,6,4,11,37,1.7895555699160788
17.0,1,2013,2,8,4,9,50,2.095395397483135
12.5,1,2010,8,24,1,1,39,6.153238870237476
52.5,1,2014,5,13,1,22,19,20.44100631762892
16.0,1,2014,10,25,5,21,24,6.519448645514857
8.0,1,2015,4,19,6,22,21,2.004430281906794
17.3,1,2010,5,17,0,7,44,8.814547103661688
5.7,1,2011,10,26,2,3,37,2.28479706714691
5.5,1,2015,4,18,5,9,30,1.1163738607956288
16.5,2,2009,2,27,4,13,31,6.6591992343204325
12.9,2,2009,7,16,3,20,33,5.188563930001422
10.1,1,2011,5,16,0,13,10,3.185944025345043
9.5,1,2013,8,9,4,21,19,1.5336994445845826
4.5,5,2010,3,14,6,15,40,0.9825455640468613
6.5,1,2011,4,27,2,13,19,0.9674387683927753
21.5,1,2015,1,30,4,0,16,8.381056956539181
8.0,1,2014,11,4,1,12,11,1.047522819897835
4.9,1,2009,12,27,6,21,7,1.2204859380760391
5.7,2,2010,7,4,6,13,7,0.9169908491997946
15.3,5,2011,6,12,6,13,33,5.9632239793543915
14.9,1,2012,8,28,1,12,29,4.021472269338425
7.0,1,2012,11,11,6,18,23,1.140697278041575
35.5,1,2013,3,24,6,18,5,14.04541539658148
8.5,1,2014,8,13,2,8,26,2.2855014196322445
5.942330221889667,1,2009,1,16,4,21,10,1.0482854584746393
4.1,1,2011,1,21,4,18,43,0.6785356160538802
11.7,1,2011,2,26,5,20,27,4.846168791810133
23.0,1,2013,6,22,5,2,35,10.181968855769965
5.7,2,2009,6,6,5,23,56,1.1073237119110546
5.3,1,2009,1,24,5,9,51,1.435175679418602
10.5,2,2015,2,27,4,7,50,1.3748639590180352
4.9,1,2009,3,25,2,14,48,1.5637830505045713
6.5,4,2010,9,10,4,18,45,1.4324533547136085
11.3,2,2011,8,31,2,13,47,3.082328164256556
11.5,1,2013,4,12,4,4,39,4.581494565886519
5.3,2,2009,5,29,4,9,46,0.8469488763858891
5.7,1,2010,7,15,3,19,9,1.4003548195689228
8.1,1,2009,9,7,0,18,52,2.812800854023254
6.1,1,2010,6,9,2,6,20,2.240205838300698
9.3,1,2012,4,15,6,17,2,2.474355928650126
4.5,2,2013,2,6,2,14,52,0.003981928384571843
5.7,4,2011,12,13,1,5,56,1.386030191148326
16.5,2,2014,7,27,6,8,22,5.334579603872791
17.0,2,2013,6,6,3,15,23,5.13618952753802
24.5,6,2014,7,12,5,15,22,5.989854020916638
6.1,1,2010,5,25,1,20,14,1.676979725349038
6.0,1,2012,9,8,5,0,49,1.6549922139058963
4.5,3,2012,8,30,3,18,57,0.9671412534587744
27.0,1,2013,5,2,3,7,41,7.061411037330521
16.0,1,2014,2,5,2,0,28,1.5781833746119671
16.1,1,2010,1,12,1,17,11,5.16499097311106
15.7,2,2010,11,7,6,17,14,3.614367457947794
26.9,6,2012,4,22,6,0,35,10.659515723234934
5.5,1,2013,1,5,5,21,36,0.778635155803401
6.0,1,2013,10,5,5,9,12,1.1739196055710874
7.7,1,2009,11,16,0,23,53,1.5978560957585966
12.9,1,2011,4,5,1,11,29,3.5097916391234194
11.3,1,2012,4,25,2,20,39,4.2419442736020825
42.5,2,2011,1,10,0,16,7,17.984675557479218
5.7,2,2011,1,14,4,18,10,0.9621440004400906
5.3,2,2012,4,2,0,8,2,0.8896088205464474
10.5,1,2010,2,10,2,8,57,3.630598925428893
7.3,1,2011,5,31,1,22,21,3.8950036956462597
4.5,1,2011,9,26,0,9,32,0.7424184600699985
12.5,1,2012,10,23,1,8,9,2.699043793497895
16.5,1,2013,9,7,5,22,29,6.626210973525572
4.9,2,2012,7,31,1,19,20,0.9192543015662044
4.1,1,2011,8,26,4,8,0,0.9450040462690427
15.5,1,2013,3,17,6,12,56,4.520597601596181
11.0,1,2015,5,25,0,15,11,3.295043053730809
4.9,2,2009,4,8,2,19,11,1.1168498901786619
11.3,1,2009,6,6,5,1,57,5.753458466381506
7.3,1,2011,2,27,6,14,45,3.514695465304465
14.9,6,2012,1,13,4,11,28,2.3465153637423115
30.9,5,2012,3,16,4,7,58,9.449584697391275
6.1,1,2012,6,18,0,20,57,1.8164311290852626
3.3,1,2010,2,23,1,9,49,0.15382235032912447
4.1,1,2012,1,6,4,7,5,0.6896895372851422
12.0,3,2014,7,21,0,14,3,2.325481279747665
9.0,1,2014,8,5,1,11,44,1.180954987389794
2.5,1,2012,3,29,3,3,51,0.06915355055539593
8.9,1,2012,6,30,5,13,43,2.360807920609295
10.5,1,2014,1,31,4,4,49,1.8855446124166855
5.7,1,2010,11,16,1,19,40,1.004414920030789
7.0,2,2012,12,15,5,19,11,1.5211057238338266
12.0,1,2014,7,20,6,23,51,4.924394326588032
49.57,1,2010,5,24,0,14,24,20.309358188558093
4.5,1,2012,8,18,5,18,33,1.485348972340496
7.3,5,2009,8,8,5,21,32,1.8072057324666662
5.3,1,2010,1,8,4,0,28,2.0171966534586714
6.9,5,2010,9,19,6,19,28,2.660471194584478
9.3,1,2012,5,16,2,18,14,2.564671871207089
6.7,1,2009,2,13,4,16,54,1.6987581609597815
9.624438447496928,1,2009,6,20,5,19,28,2.2233644199112783
9.0,1,2013,9,3,1,8,8,2.4436709518915554
13.0,2,2013,1,20,6,14,33,3.2967679528651774
19.0,1,2013,7,31,2,6,51,9.184178812065662
5.5,1,2013,9,9,0,22,12,1.0206370037291133
8.1,1,2009,1,23,4,7,28,3.502140461937641
9.3,1,2011,2,18,4,13,19,3.0623715292616334
18.0,1,2013,5,11,5,19,51,4.837072124217292
12.0,1,2014,9,13,5,12,17,2.1010603357810567
7.3,1,2009,4,21,1,22,59,2.2975710441667143
4.9,2,2009,9,26,5,15,17,1.2316233304493862
16.1,1,2010,5,28,4,21,33,4.3107704719115185
12.9,2,2011,5,2,0,8,20,5.963333364825623
4.0,1,2015,2,14,5,19,0,0.6413667239905562
15.3,1,2011,5,2,0,12,44,4.616313292592368
11.7,1,2012,6,24,6,17,33,3.6524900477109283
25.3,1,2010,5,22,5,23,29,14.978908547499316
8.9,1,2010,6,30,2,2,22,3.067505490100903
6.0,1,2013,4,26,4,2,6,0.7560638503402237
6.0,1,2013,5,2,3,3,57,1.2343245641366736
6.5,1,2011,1,23,6,11,44,1.4969547972296129
7.5,1,2012,10,14,6,21,6,2.058248937911881
16.5,1,2015,4,30,3,14,7,1.982741609672198
9.7,1,2012,1,8,6,19,3,4.464557942540065
7.7,1,2012,4,24,1,13,0,2.921291917336608
19.0,2,2014,5,9,4,9,42,6.282031132650654
16.9,1,2009,7,31,4,13,53,9.334016079156903
10.5,2,2012,11,18,6,12,17,2.485721559792436
8.9,3,2011,6,15,2,18,7,2.1189411599013708
5.5,1,2012,9,6,3,13,41,0.9054747299490628
10.9,1,2009,5,13,2,18,17,4.039006686134801
5.7,1,2010,1,17,6,22,7,1.8059471972536578
18.1,2,2009,12,6,6,11,58,5.885549923609442
10.9,5,2010,6,30,2,6,15,4.860799782638007
8.9,5,2011,4,4,0,18,56,3.949142255157277
13.5,2,2014,3,3,0,23,30,5.6337365172742935
5.0,2,2014,5,19,0,20,59,1.413896395329811
5.3,1,2011,12,7,2,19,40,1.1294075874981155
7.7,1,2012,6,17,6,2,5,1.6586329450056083
9.0,1,2013,1,1,1,14,26,2.5950366236372853
16.1,1,2011,10,8,5,0,24,2.8690443880053933
4.9,2,2012,7,30,0,16,19,1.0550526397592315
5.5,1,2012,9,9,6,10,24,1.255911963321149
57.33,1,2013,6,14,4,17,37,21.37478766750501
8.5,3,2014,2,28,4,22,45,1.839317368377171
9.5,1,2014,6,10,1,14,18,4.008445012880606
7.5,1,2015,3,29,6,13,31,1.937912548259945
7.5,2,2013,9,21,5,2,54,1.7747679708898438
8.1,1,2009,8,31,0,10,25,2.0052591391330683
5.7,1,2012,6,26,1,13,8,0.8805873849397795
14.1,1,2010,1,21,3,8,39,4.178098389785903
5.7,1,2011,7,21,3,15,43,1.6749802485624088
7.0,1,2013,11,6,2,11,26,1.4080023643896329
12.0,1,2014,2,9,6,2,17,3.5407527336615288
11.5,1,2015,4,18,5,8,29,3.3522434957762606
12.1,1,2010,3,27,5,22,20,4.2749865858297555
26.67,1,2010,6,15,1,13,31,8.182968803788908
4.5,1,2010,9,13,0,9,37,1.2341878314298271
10.1,1,2011,4,4,0,20,59,3.1443237228597978
7.7,1,2011,5,8,6,10,43,2.811880591483431
19.664125730347493,2,2014,7,11,4,5,7,7.557571697067062
19.0,1,2014,8,21,3,10,21,4.915370264066406
14.0,1,2013,10,31,3,11,49,3.352638749335831
5.0,1,2013,11,15,4,1,51,1.1965220144024065
43.5,1,2015,5,10,6,22,41,15.740429349818148
8.0,1,2015,6,20,5,9,50,1.7780094267991797
8.7,4,2009,3,13,4,17,43,3.165517180995464
3.7,1,2011,1,27,3,21,30,0.6194689062439992
20.5,1,2011,11,24,3,1,58,11.0380011888721
52.83,1,2015,3,19,3,12,38,9.239850718905465
6.1,1,2009,7,16,3,22,38,1.8366152096763289
8.5,1,2013,6,22,5,13,48,1.626067213689986
20.0,1,2014,3,10,0,19,50,0.2577277049511372
10.5,1,2010,5,28,4,8,18,4.468268761987812
26.5,1,2012,3,10,5,22,53,7.748933934719378
8.0,4,2015,6,1,0,21,41,2.0460833349372405
10.6,1,2009,1,26,0,0,44,2.808451202235923
4.5,1,2010,9,21,1,7,6,1.1071560405750116
9.7,1,2011,3,9,2,22,21,3.273621442946992
20.5,1,2011,12,5,0,8,38,7.655674012815428
9.3,1,2012,1,6,4,10,57,3.1557202340673904
18.5,1,2014,5,25,6,21,9,4.978060208361722
5.0,2,2014,4,27,6,21,56,0.42232660627196345
34.0,1,2009,8,3,0,8,19,9.471972106841973
23.5,1,2012,11,8,3,20,7,7.246794088432404
4.5,3,2009,12,11,4,15,57,0.5388560982822248
8.0,1,2013,12,7,5,13,25,2.103924559597118
26.5,5,2010,2,27,5,20,13,0.08646155561784889
5.5,2,2014,12,24,2,11,23,0.9394149138720225
6.1,1,2009,3,23,0,20,24,0.8775270210949824
4.9,4,2010,3,23,1,17,43,0.7229695681695322
5.3,1,2010,1,26,1,14,55,1.7853628974921605
8.1,1,2011,7,5,1,14,23,2.046424068151606
20.33,1,2013,4,1,0,0,4,4.440204637195444
4.5,1,2013,6,28,4,20,24,0.9683884765543833
7.0,1,2014,5,12,0,12,11,2.066304079019827
7.7,1,2009,7,11,5,12,20,2.4384717707920225
7.3,1,2009,10,16,4,10,32,1.219494448913636
33.07,2,2010,6,9,2,14,53,10.371758036267696
36.5,5,2011,5,4,2,13,44,9.009499953953732
5.0,2,2014,1,1,2,5,22,0.7815813931215067
23.5,1,2014,6,25,2,17,43,5.505458236814383
6.1,1,2012,5,9,2,15,26,1.4240459579881006
11.0,1,2013,1,12,5,18,10,2.5315796243242366
6.256837263219011,6,2014,9,5,4,15,23,1.2391493586463813
11.3,5,2009,9,20,6,11,32,5.041257891561325
8.1,1,2009,11,15,6,19,58,1.7102366751767482
8.9,3,2010,3,28,6,22,32,3.081616155372978
4.5,1,2011,2,19,5,22,25,1.6353837547762953
11.0,1,2013,1,31,3,19,38,2.1458973467363958
8.1,1,2010,1,15,4,11,11,1.8612256870734063
6.9,1,2010,9,19,6,15,17,1.1900961752577952
6.0,1,2013,11,19,1,22,9,1.0808133692306787
5.3,1,2009,4,27,0,20,28,1.0923047189434716
6.1,1,2011,11,27,6,0,57,1.2264213554005288
9.5,2,2012,11,10,5,0,30,2.848458350586274
11.5,1,2013,12,18,2,9,15,2.6374294297635164
17.0,6,2015,3,14,5,9,23,4.927826282103461
5.3,1,2009,7,30,3,14,44,1.2738907343646444
10.0,1,2013,6,11,1,16,27,2.6425874606547244
15.5,1,2014,12,8,0,1,0,3.725487439557522
6.9,1,2010,6,11,4,17,41,1.9068974449507923
18.1,1,2011,5,1,6,12,48,6.726031947736794
15.5,1,2015,5,21,3,9,23,1.705073544003187
10.1,1,2012,2,3,4,1,55,3.9763418339990806
21.5,6,2013,3,22,4,19,20,7.64553048361817
8.5,1,2014,10,4,5,20,10,1.1673760331116179
7.3,1,2012,8,12,6,16,22,1.0655583292852315
8.5,1,2014,9,16,1,15,12,1.2148190147629223
6.1,5,2010,7,25,6,9,56,1.3506455443552505
14.1,1,2012,2,25,5,19,43,4.805930714291206
6.0,1,2013,12,30,0,15,16,0.9250761946810347
8.5,1,2014,12,5,4,13,59,1.803735134466097
8.0,1,2015,5,4,0,9,36,1.6349758060656951
5.3,1,2012,4,25,2,16,19,1.623655590186198
10.5,1,2014,1,6,0,19,24,2.6888128261053703
5.5,1,2015,2,20,4,7,12,1.0990293286023223
8.5,1,2014,4,29,1,9,51,0.7731867266458976
6.1,1,2010,11,26,4,16,1,1.9002499354386932
12.9,1,2010,12,26,6,11,50,4.586969909959675
10.0,5,2014,2,1,5,21,6,6.33693898489305
8.5,6,2014,7,8,1,20,16,1.945407445039874
4.9,1,2010,4,15,3,18,13,0.7224618068232994
6.0,1,2012,9,26,2,13,14,1.8394754543039007
5.0,1,2014,1,10,4,8,16,0.5803101675338703
13.5,1,2013,3,2,5,15,47,2.5028697393464236
33.83,1,2015,3,11,2,14,48,8.72489502675387
25.7,1,2009,9,2,2,5,18,11.017686990524814
13.7,3,2010,5,21,4,8,35,4.333959931547517
10.5,1,2011,10,16,6,22,37,3.8166770858349706
5.7,1,2012,3,7,2,11,26,1.1838895630146153
9.0,2,2013,8,24,5,17,7,2.725826492033922
22.5,1,2014,2,6,3,11,17,7.254652820792984
7.5,1,2014,2,6,3,11,17,1.2138614147999869
14.1,1,2011,4,20,2,18,51,4.424125996644199
9.3,1,2012,5,3,3,21,28,2.298049153392992
4.0,1,2014,2,22,5,18,41,0.5552818100761984
5.5,1,2014,10,3,4,16,31,1.0522781578816125
9.3,1,2009,5,18,0,12,30,1.9227680892423202
7.3,2,2010,6,26,5,9,59,1.7184928199911538
4.5,1,2013,6,20,3,12,36,0.790982536102716
5.7,2,2010,4,10,5,16,56,1.1895519743314529
8.0,1,2014,11,15,5,13,12,1.6499713575160941
20.5,2,2015,5,20,2,20,29,7.474501836652142
9.3,1,2011,10,16,6,11,37,3.4751251103700906
8.5,2,2011,10,21,4,8,18,2.7548648933961424
8.1,1,2012,3,24,5,22,13,2.4644677910555686
5.0,5,2013,12,9,0,9,16,0.7570500293623379
5.3,5,2009,1,16,4,5,58,0.5037386231909065
5.3,1,2010,4,21,2,13,39,1.392289104491426
6.9,2,2011,7,1,4,8,24,2.557265975728145
8.5,1,2014,10,21,1,7,4,1.8167176849741573
6.5,1,2012,7,2,0,8,43,2.4840618223318436
29.0,1,2012,9,15,5,2,17,4.746882571005173
21.0,6,2014,1,29,2,22,41,6.954832458335356
14.5,2,2009,1,2,4,10,13,4.750043772961563
32.9,1,2009,9,12,5,10,56,9.29539619528149
6.1,1,2011,5,17,1,7,53,3.009310187969009
13.0,1,2013,11,7,3,10,19,2.5730762299001233
15.0,1,2014,7,11,4,12,24,1.8124863108565008
4.9,1,2010,2,3,2,14,33,0.9573043956482304
8.9,5,2010,11,11,3,21,18,2.7807554118144697
8.1,1,2012,4,5,3,20,19,2.371637696140461
6.0,1,2013,4,30,1,16,25,1.291053803309096
57.33,1,2014,5,12,0,23,31,20.53255804696944
8.0,1,2014,5,20,1,13,15,1.720115399342295
8.5,1,2009,11,28,5,17,12,2.347932348037546
8.9,1,2010,1,31,6,15,21,3.5714151962635547
10.5,5,2010,8,6,4,9,29,0.9405529048301577
10.1,2,2010,9,8,2,15,14,5.588320880416014
49.8,3,2011,11,15,1,13,7,21.416092063875794
5.0,1,2015,2,1,6,17,24,1.061254280720925
6.0,1,2015,2,16,0,17,12,1.3421252108140214
13.3,1,2010,2,26,4,23,56,4.001499263418847
7.0,1,2015,4,9,3,7,20,0.5627468737137976
10.5,2,2012,3,28,2,13,9,3.118153817357895
56.8,1,2012,12,21,4,13,10,20.735743766744246
14.5,1,2013,12,4,2,18,13,3.5893746384884695
11.3,2,2010,11,25,3,22,54,0.09570401276377155
6.5,1,2011,1,14,4,17,22,0.8847879573287055
5.7,1,2011,6,2,3,14,4,1.8234164380614373
13.0,1,2013,5,2,3,1,22,3.6584133652083826
12.777820015638868,5,2014,7,3,3,1,34,7.691376624015378
18.5,1,2011,11,10,3,0,9,4.628221921472099
14.1,2,2012,6,17,6,18,8,3.991318109766827
4.5,2,2010,1,9,5,21,28,1.0856267856254784
24.0,1,2014,7,20,6,11,49,10.448179889646665
25.7,1,2010,1,16,5,13,58,9.8915134203037
3.3,1,2011,8,30,1,10,9,0.40108180335693244
8.5,1,2012,3,26,0,5,47,3.7233596388177284
5.3,1,2010,7,31,5,22,0,1.5343846600251867
4.5,1,2011,6,12,6,1,48,0.9493595630352786
3.7,2,2009,1,11,6,22,50,1.0014436621614333
8.1,1,2011,7,26,1,11,56,1.5507439489525734
16.1,2,2010,8,3,1,14,58,6.437944733411367
12.9,1,2011,5,22,6,0,30,4.752588174796169
8.1,2,2011,8,20,5,13,40,1.4974938737521613
9.5,1,2013,3,14,3,11,13,1.961121204840035
23.5,2,2014,9,2,1,0,2,8.795060766103346
11.0,1,2009,3,28,5,20,5,4.132660378532326
6.1,2,2011,10,10,0,18,31,1.7837483919967236
28.0,1,2014,7,13,6,11,15,8.263164628807722
10.0,1,2014,7,23,2,8,42,1.0094104018798962
10.1,1,2009,4,3,4,11,58,2.185871381696104
7.7,5,2011,4,30,5,4,15,2.8370164779851073
8.0,1,2014,3,26,2,22,46,1.7202515761528094
6.1,1,2009,7,16,3,18,4,1.2814150477255521
20.5,1,2012,9,13,3,11,31,4.878219380954324
9.5,1,2013,11,19,1,10,38,2.0142389775215537
7.0,1,2014,2,14,4,5,55,1.3184625050654661
8.5,1,2011,7,13,2,7,32,3.802592609968524
7.5,2,2014,5,30,4,21,44,1.7811604705545012
11.5,1,2015,6,22,0,19,4,3.119298398376246
7.7,1,2010,4,29,3,8,27,2.828370643650849
6.1,2,2011,12,14,2,20,47,1.7618419023268002
38.5,2,2012,9,2,6,23,9,12.375318495256666
11.5,2,2015,5,28,3,11,56,3.0719796580954366
6.0,1,2012,9,24,0,23,7,2.1020820730928773
17.0,1,2013,5,2,3,18,59,3.272733873567854
7.5,1,2014,8,15,4,21,24,1.1339071613396834
5.5,2,2015,5,16,5,11,33,1.303878129928898
6.9,1,2011,3,20,6,17,25,1.2986413915073336
3.0,1,2013,2,15,4,12,13,0.2925490323993505
63.0,1,2014,3,3,0,19,3,3.7431910157961625
38.8,1,2012,11,30,4,11,2,9.395660179836282
6.0,1,2013,3,10,6,4,12,0.8925358857295516
6.5,1,2014,6,18,2,7,38,1.9959747821604046
14.5,1,2014,8,1,4,1,59,5.802177028330643
4.1,1,2009,4,10,4,17,32,0.8740562733847994
13.3,2,2010,8,21,5,14,22,6.568310615943244
6.0,3,2012,12,8,5,23,27,1.7075593226177
6.5,1,2013,1,16,2,16,40,1.295896609984984
12.5,1,2013,3,25,0,11,32,4.130195461892775
21.5,1,2014,5,9,4,12,55,5.736205150710426
49.57,2,2010,10,23,5,18,39,0.00027916165568886165
38.1,1,2010,11,13,5,4,38,18.956866525817933
10.1,1,2011,7,10,6,2,8,3.0518767647618965
4.5,1,2010,4,28,2,18,58,0.4971765978630932
5.3,3,2011,12,17,5,13,53,1.5395924204081903
8.0,1,2013,10,31,3,23,44,1.3630991910491277
7.7,1,2009,7,30,3,21,24,2.0961600326213157
7.5,2,2012,10,1,0,9,2,4.1925214396851205
5.5,1,2015,3,17,1,13,30,0.597029303904765
7.7,1,2009,3,1,6,18,37,1.7776044470213037
8.1,1,2010,2,12,4,21,30,3.21298850021087
5.5,1,2014,7,12,5,13,17,0.725054699925432
6.5,1,2015,6,13,5,7,19,1.2073782182619897
4.5,1,2013,8,6,1,23,24,0.6402283667404789
7.0,1,2013,9,24,1,18,23,1.3815540908265465
17.5,1,2014,2,19,2,12,48,3.5030548763380813
4.9,2,2011,2,13,6,14,48,0.7070789012502472
6.0,1,2013,6,1,5,12,53,1.7998188301130231
4.5,5,2010,3,11,3,20,59,0.623296966087445
